"CSV for general cost profile"
"Clock (seconds)"
Solids   ,Shells   ,Tshells  ,Beams    ,SPH      ,Time-Step,Contact  ,Rigid-Bdy,Others   ,Misc1    ,Misc2    ,Misc3    ,Misc4    
0.000000000E+00,0.269820001E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.494599994E-02,0.338699995E-02,0.173699996E-02,0.476300018E-02,0.155130001E-01,0.203300011E-02,0.378686994E+00,0.972000044E-02
0.000000000E+00,0.266529992E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.478899991E-02,0.325999991E-02,0.167300005E-02,0.509400014E-02,0.747000007E-02,0.197100011E-02,0.379346013E+00,0.974600017E-02
0.000000000E+00,0.250010006E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.628399989E-02,0.367800007E-02,0.169499998E-02,0.570600014E-02,0.750199985E-02,0.194900006E-02,0.379065990E+00,0.961999968E-02
0.000000000E+00,0.266820006E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.430899998E-02,0.338799995E-02,0.164000003E-02,0.632400019E-02,0.771800010E-02,0.197399990E-02,0.378720999E+00,0.969600026E-02
0.000000000E+00,0.252560005E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.614299998E-02,0.333199999E-02,0.164499995E-02,0.572999986E-02,0.835399982E-02,0.197200011E-02,0.379025996E+00,0.973100029E-02
0.000000000E+00,0.251219999E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.573900016E-02,0.371500012E-02,0.162500003E-02,0.643200008E-02,0.887999963E-02,0.193999999E-02,0.378879994E+00,0.965300016E-02
0.000000000E+00,0.267299991E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.450599985E-02,0.330900005E-02,0.165100000E-02,0.625899993E-02,0.770100020E-02,0.196000002E-02,0.378807008E+00,0.975400023E-02
0.000000000E+00,0.253110006E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.565000018E-02,0.325799990E-02,0.173300004E-02,0.589800021E-02,0.846199971E-02,0.194800005E-02,0.378953010E+00,0.979300030E-02
0.000000000E+00,0.250720009E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.600299984E-02,0.365000009E-02,0.164399995E-02,0.631499989E-02,0.836899970E-02,0.197599991E-02,0.378858000E+00,0.965800043E-02
0.000000000E+00,0.267270003E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.292199990E-02,0.374300010E-02,0.165500003E-02,0.726199988E-02,0.877299998E-02,0.196400005E-02,0.378500998E+00,0.977499969E-02
0.000000000E+00,0.251369998E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.580700021E-02,0.373500003E-02,0.162400003E-02,0.642600004E-02,0.748499995E-02,0.194300001E-02,0.378798008E+00,0.979700033E-02
0.000000000E+00,0.252020005E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.417000009E-02,0.367500004E-02,0.161100004E-02,0.686699990E-02,0.927599985E-02,0.193200004E-02,0.378506988E+00,0.960099977E-02
0.000000000E+00,0.267200004E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.424899999E-02,0.318400003E-02,0.168099999E-02,0.672500022E-02,0.785499997E-02,0.197200011E-02,0.378706992E+00,0.963499956E-02
0.000000000E+00,0.251749996E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.582499988E-02,0.371599989E-02,0.165200001E-02,0.652999990E-02,0.760099990E-02,0.195900002E-02,0.378825009E+00,0.973299984E-02
0.000000000E+00,0.252439994E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.398899987E-02,0.373300002E-02,0.170699996E-02,0.672100019E-02,0.123899998E-01,0.197599991E-02,0.378502995E+00,0.983600039E-02
0.000000000E+00,0.265069995E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.475599989E-02,0.333600002E-02,0.167200004E-02,0.552099990E-02,0.787600037E-02,0.193499995E-02,0.379247993E+00,0.965599995E-02
0.000000000E+00,0.251659993E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.578300003E-02,0.356999994E-02,0.166600000E-02,0.663700001E-02,0.745100016E-02,0.194200000E-02,0.378838003E+00,0.969799981E-02
0.000000000E+00,0.251640007E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.628399989E-02,0.324600004E-02,0.170599995E-02,0.548999989E-02,0.746899983E-02,0.195399998E-02,0.379303008E+00,0.966100022E-02
0.000000000E+00,0.265549999E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.239300006E-02,0.370400003E-02,0.163199997E-02,0.765800010E-02,0.834100042E-02,0.194200000E-02,0.378481001E+00,0.962799974E-02
0.000000000E+00,0.251839999E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.586100016E-02,0.375799998E-02,0.166099996E-02,0.640599988E-02,0.934599992E-02,0.197100011E-02,0.378845006E+00,0.978399999E-02
0.000000000E+00,0.251359995E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.588699989E-02,0.365499989E-02,0.160299998E-02,0.654600002E-02,0.858100038E-02,0.193799997E-02,0.378823996E+00,0.963300001E-02
0.000000000E+00,0.251770001E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.624499982E-02,0.326399994E-02,0.165500003E-02,0.571299996E-02,0.771400006E-02,0.196300005E-02,0.379133999E+00,0.967499986E-02
0.000000000E+00,0.250680000E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.587800005E-02,0.375999999E-02,0.162100000E-02,0.645799981E-02,0.757700019E-02,0.194999995E-02,0.378841013E+00,0.981699955E-02
0.000000000E+00,0.250189994E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.619600015E-02,0.326399994E-02,0.167999999E-02,0.561999995E-02,0.893300027E-02,0.201099995E-02,0.379004002E+00,0.969399977E-02
0.000000000E+00,0.269939993E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.369599997E-02,0.337700010E-02,0.164499995E-02,0.628100010E-02,0.897500012E-02,0.207799999E-02,0.378641993E+00,0.985299982E-02
0.000000000E+00,0.264340006E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.432799989E-02,0.372899999E-02,0.158899999E-02,0.670900010E-02,0.757199991E-02,0.195700000E-02,0.378803015E+00,0.980800018E-02
0.000000000E+00,0.250630006E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.584900007E-02,0.374999992E-02,0.161000004E-02,0.616300013E-02,0.921100006E-02,0.194200000E-02,0.379034996E+00,0.972099975E-02
0.000000000E+00,0.264459997E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.433599995E-02,0.330700004E-02,0.158299995E-02,0.657299999E-02,0.774999987E-02,0.195299997E-02,0.378872991E+00,0.972700026E-02
0.000000000E+00,0.251739994E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.636200001E-02,0.326699996E-02,0.160500000E-02,0.446800003E-02,0.851400010E-02,0.197799993E-02,0.379887015E+00,0.975800026E-02
0.000000000E+00,0.251749996E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.607200013E-02,0.323999999E-02,0.160900003E-02,0.607299991E-02,0.825200044E-02,0.193499995E-02,0.379153997E+00,0.983500015E-02
0.000000000E+00,0.266640000E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.229600002E-02,0.372499996E-02,0.164200005E-02,0.739100017E-02,0.992500037E-02,0.192900002E-02,0.378511995E+00,0.977099966E-02
0.000000000E+00,0.253160000E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.329599995E-02,0.369299995E-02,0.161200005E-02,0.694199977E-02,0.106589999E-01,0.199700007E-02,0.378394991E+00,0.990600046E-02
0.000000000E+00,0.250909999E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.405000011E-02,0.356599991E-02,0.161100004E-02,0.705699995E-02,0.975199975E-02,0.194500003E-02,0.378499001E+00,0.978299975E-02
0.000000000E+00,0.267500002E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.348600000E-02,0.360599998E-02,0.169499998E-02,0.752499979E-02,0.906100031E-02,0.202200003E-02,0.378574014E+00,0.976299960E-02
0.000000000E+00,0.251109991E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.616399990E-02,0.324600004E-02,0.158599997E-02,0.537799997E-02,0.938200019E-02,0.193899998E-02,0.379438013E+00,0.979300030E-02
0.000000000E+00,0.251400005E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.614299998E-02,0.321600004E-02,0.160500000E-02,0.538899982E-02,0.936099980E-02,0.197399990E-02,0.379478008E+00,0.981099997E-02
0.000000000E+00,0.267689992E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.244499999E-02,0.369399996E-02,0.159500004E-02,0.824599992E-02,0.885699969E-02,0.195099995E-02,0.378536999E+00,0.978800002E-02
0.000000000E+00,0.251920000E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.577299995E-02,0.377100008E-02,0.156200002E-02,0.641599996E-02,0.755700003E-02,0.198599999E-02,0.378908008E+00,0.980500039E-02
0.000000000E+00,0.252030008E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.595299993E-02,0.371799991E-02,0.157500000E-02,0.619600015E-02,0.832400005E-02,0.191700005E-02,0.379014999E+00,0.979499985E-02
0.000000000E+00,0.265139993E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.444500009E-02,0.324400002E-02,0.157800002E-02,0.630699983E-02,0.883499999E-02,0.195800001E-02,0.378913999E+00,0.982499961E-02
0.000000000E+00,0.251449998E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.597199984E-02,0.368400011E-02,0.161000004E-02,0.614900002E-02,0.832500029E-02,0.197100011E-02,0.378996998E+00,0.964500010E-02
0.000000000E+00,0.251950007E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.621599983E-02,0.325000007E-02,0.162600004E-02,0.526200002E-02,0.860700011E-02,0.193000003E-02,0.379487008E+00,0.973299984E-02
0.000000000E+00,0.265609995E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.426300010E-02,0.332699995E-02,0.157199998E-02,0.658900011E-02,0.932199974E-02,0.199300004E-02,0.378746003E+00,0.976399984E-02
0.000000000E+00,0.252260007E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.600800011E-02,0.373500003E-02,0.159100001E-02,0.609500008E-02,0.722600007E-02,0.195199996E-02,0.378964990E+00,0.981600024E-02
0.000000000E+00,0.250380002E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.634100009E-02,0.334700011E-02,0.158200006E-02,0.494399993E-02,0.893300027E-02,0.197899994E-02,0.379608989E+00,0.967200007E-02
0.000000000E+00,0.251899995E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.616900017E-02,0.326899998E-02,0.161100004E-02,0.526400004E-02,0.892600045E-02,0.192900002E-02,0.379435003E+00,0.965999998E-02
0.000000000E+00,0.251310002E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.630899984E-02,0.330900005E-02,0.158899999E-02,0.519399997E-02,0.764899980E-02,0.193899998E-02,0.379453987E+00,0.974300038E-02
0.000000000E+00,0.249749999E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.634900015E-02,0.328300009E-02,0.157900003E-02,0.474500004E-02,0.824300013E-02,0.195900002E-02,0.379707009E+00,0.981099997E-02



"CSV for general cost profile"
"Clock and percentage(%)"
Solids   ,Shells   ,Tshells  ,Beams    ,SPH      ,Time-Step,Contact  ,Rigid-Bdy,Others   ,Misc1    ,Misc2    ,Misc3    ,Misc4    
0.000000000E+00,0.635555685E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.116502061E+00,0.797801167E-01,0.409146920E-01,0.112191536E+00,0.365405679E+00,0.478869192E-01,0.891989708E+01,0.228952706E+00
0.000000000E+00,0.627805829E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.112803884E+00,0.767886192E-01,0.394071639E-01,0.119988106E+00,0.175954282E+00,0.464264937E-01,0.893541527E+01,0.229564995E+00
