Curveplot
CPU and Clock percentage(%)
processor ID
cpu/%
XY data
Solids    #pts=0000000048
  0.100000000000E+01  0.000000000000E+00
  0.200000000000E+01  0.000000000000E+00
  0.300000000000E+01  0.000000000000E+00
  0.400000000000E+01  0.000000000000E+00
  0.500000000000E+01  0.000000000000E+00
  0.600000000000E+01  0.000000000000E+00
  0.700000000000E+01  0.000000000000E+00
  0.800000000000E+01  0.000000000000E+00
  0.900000000000E+01  0.000000000000E+00
  0.100000000000E+02  0.000000000000E+00
  0.110000000000E+02  0.000000000000E+00
  0.120000000000E+02  0.000000000000E+00
  0.130000000000E+02  0.000000000000E+00
  0.140000000000E+02  0.000000000000E+00
  0.150000000000E+02  0.000000000000E+00
  0.160000000000E+02  0.000000000000E+00
  0.170000000000E+02  0.000000000000E+00
  0.180000000000E+02  0.000000000000E+00
  0.190000000000E+02  0.000000000000E+00
  0.200000000000E+02  0.000000000000E+00
  0.210000000000E+02  0.000000000000E+00
  0.220000000000E+02  0.000000000000E+00
  0.230000000000E+02  0.000000000000E+00
  0.240000000000E+02  0.000000000000E+00
  0.250000000000E+02  0.000000000000E+00
  0.260000000000E+02  0.000000000000E+00
  0.270000000000E+02  0.000000000000E+00
  0.280000000000E+02  0.000000000000E+00
  0.290000000000E+02  0.000000000000E+00
  0.300000000000E+02  0.000000000000E+00
  0.310000000000E+02  0.000000000000E+00
  0.320000000000E+02  0.000000000000E+00
  0.330000000000E+02  0.000000000000E+00
  0.340000000000E+02  0.000000000000E+00
  0.350000000000E+02  0.000000000000E+00
  0.360000000000E+02  0.000000000000E+00
  0.370000000000E+02  0.000000000000E+00
  0.380000000000E+02  0.000000000000E+00
  0.390000000000E+02  0.000000000000E+00
  0.400000000000E+02  0.000000000000E+00
  0.410000000000E+02  0.000000000000E+00
  0.420000000000E+02  0.000000000000E+00
  0.430000000000E+02  0.000000000000E+00
  0.440000000000E+02  0.000000000000E+00
  0.450000000000E+02  0.000000000000E+00
  0.460000000000E+02  0.000000000000E+00
  0.470000000000E+02  0.000000000000E+00
  0.480000000000E+02  0.000000000000E+00
endcurve
Shells    #pts=0000000048
  0.100000000000E+01  0.574700022116E-02
  0.200000000000E+01  0.542999990284E-02
  0.300000000000E+01  0.404200004414E-02
  0.400000000000E+01  0.536900013685E-02
  0.500000000000E+01  0.405899994075E-02
  0.600000000000E+01  0.408399989828E-02
  0.700000000000E+01  0.541700003669E-02
  0.800000000000E+01  0.398899987340E-02
  0.900000000000E+01  0.403199996799E-02
  0.100000000000E+02  0.542399985716E-02
  0.110000000000E+02  0.400099996477E-02
  0.120000000000E+02  0.406799977645E-02
  0.130000000000E+02  0.547500001267E-02
  0.140000000000E+02  0.397699978203E-02
  0.150000000000E+02  0.402799993753E-02
  0.160000000000E+02  0.544100021943E-02
  0.170000000000E+02  0.394700001925E-02
  0.180000000000E+02  0.391300022602E-02
  0.190000000000E+02  0.552800018340E-02
  0.200000000000E+02  0.398099981248E-02
  0.210000000000E+02  0.396700017154E-02
  0.220000000000E+02  0.394000019878E-02
  0.230000000000E+02  0.398200005293E-02
  0.240000000000E+02  0.389200006612E-02
  0.250000000000E+02  0.580700021237E-02
  0.260000000000E+02  0.539600010961E-02
  0.270000000000E+02  0.402199989185E-02
  0.280000000000E+02  0.539899989963E-02
  0.290000000000E+02  0.397699978203E-02
  0.300000000000E+02  0.394900003448E-02
  0.310000000000E+02  0.550100021064E-02
  0.320000000000E+02  0.424800021574E-02
  0.330000000000E+02  0.395999988541E-02
  0.340000000000E+02  0.542900012806E-02
  0.350000000000E+02  0.397199997678E-02
  0.360000000000E+02  0.410000002012E-02
  0.370000000000E+02  0.547700002789E-02
  0.380000000000E+02  0.406799977645E-02
  0.390000000000E+02  0.397300021723E-02
  0.400000000000E+02  0.544299976900E-02
  0.410000000000E+02  0.395300006494E-02
  0.420000000000E+02  0.396700017154E-02
  0.430000000000E+02  0.547500001267E-02
  0.440000000000E+02  0.399099988863E-02
  0.450000000000E+02  0.398600008339E-02
  0.460000000000E+02  0.398699985817E-02
  0.470000000000E+02  0.397899979725E-02
  0.480000000000E+02  0.399499991909E-02
endcurve
Tshells   #pts=0000000048
  0.100000000000E+01  0.000000000000E+00
  0.200000000000E+01  0.000000000000E+00
